SampleID	CornVariety	TissueType	Timepoint	FungalStrain	TissueExtraction	Age
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
B73-S4	B73	Silk	0	Control	Epibiota	Young
B73-O1	B73	Ovule	0	Control	Epibiota	Young
B73-O2	B73	Ovule	0	Control	Epibiota	Young
B73-O3	B73	Ovule	0	Control	Epibiota	Young
B73-O4	B73	Ovule	0	Control	Epibiota	Young
B73-S1	B73	Silk	0	Control	Epibiota	Young
B73-S2	B73	Silk	0	Control	Epibiota	Young
B73-S3	B73	Silk	0	Control	Epibiota	Young
B73-S5	B73	Silk	0	Control	Epibiota	Young
C322-O1	CML322	Ovule	0	Control	Epibiota	Young
C322-O2	CML322	Ovule	0	Control	Epibiota	Young
C322-O3	CML322	Ovule	0	Control	Epibiota	Young
C322-O4	CML322	Ovule	0	Control	Epibiota	Young
C322-S1	CML322	Silk	0	Control	Epibiota	Young
C322-S2	CML322	Silk	0	Control	Epibiota	Young
C322-S3	CML322	Silk	0	Control	Epibiota	Young
C322-S4	CML322	Silk	0	Control	Epibiota	Young
C322-S5	CML322	Silk	0	Control	Epibiota	Young
B1	B73	Silk	1	Mix	Epibiota	Young
B2	B73	Silk	1	Mix	Epibiota	Young
B3	B73	Silk	1	Mix	Epibiota	Young
B4	B73	Ovule	1	Mix	Epibiota	Young
B5	B73	Ovule	1	Mix	Epibiota	Young
B6	B73	Ovule	1	Mix	Epibiota	Young
B7	B73	Silk	1	K49	Epibiota	Young
B9	B73	Silk	1	K49	Epibiota	Young
B10	B73	Ovule	1	K49	Epibiota	Young
B11	B73	Ovule	1	K49	Epibiota	Young
B12	B73	Ovule	1	K49	Epibiota	Young
B13	B73	Silk	1	Tox4	Epibiota	Young
B14	B73	Silk	1	Tox4	Epibiota	Young
B15	B73	Silk	1	Tox4	Epibiota	Young
B16	B73	Ovule	1	Tox4	Epibiota	Young
B17	B73	Ovule	1	Tox4	Epibiota	Young
B18	B73	Ovule	1	Tox4	Epibiota	Young
B19	B73	Silk	1	Mix	Endobiota	Young
B20	B73	Silk	1	Mix	Endobiota	Young
B21	B73	Silk	1	Mix	Endobiota	Young
B22	B73	Ovule	1	Mix	Endobiota	Young
B23	B73	Ovule	1	Mix	Endobiota	Young
B24	B73	Ovule	1	Mix	Endobiota	Young
B25	B73	Silk	1	K49	Endobiota	Young
B26	B73	Silk	1	K49	Endobiota	Young
B27	B73	Silk	1	K49	Endobiota	Young
B28	B73	Ovule	1	K49	Endobiota	Young
B29	B73	Ovule	1	K49	Endobiota	Young
B30	B73	Ovule	1	K49	Endobiota	Young
B31	B73	Silk	1	Tox4	Endobiota	Young
B32	B73	Silk	1	Tox4	Endobiota	Young
B33	B73	Silk	1	Tox4	Endobiota	Young
B34	B73	Ovule	1	Tox4	Endobiota	Young
B35	B73	Ovule	1	Tox4	Endobiota	Young
B36	B73	Ovule	1	Tox4	Endobiota	Young
C1	CML322	Silk	1	Mix	Epibiota	Young
C2	CML322	Silk	1	Mix	Epibiota	Young
C3	CML322	Silk	1	Mix	Epibiota	Young
C4	CML322	Ovule	1	Mix	Epibiota	Young
C5	CML322	Ovule	1	Mix	Epibiota	Young
C6	CML322	Ovule	1	Mix	Epibiota	Young
C7	CML322	Silk	1	K49	Epibiota	Young
