SampleID	CornVariety	TissueType	Timepoint	FungalStrain	TissueExtraction	Age	Batch
O1-373	B73	Ovule	0	Control	Epibiota	Young	0
O2-373	B73	Ovule	0	Control	Epibiota	Young	0
O3-373	B73	Ovule	0	Control	Epibiota	Young	0
O4-373	B73	Ovule	0	Control	Epibiota	Young	0
S1-373	B73	Silk	0	Control	Epibiota	Young	0
S2-373	B73	Silk	0	Control	Epibiota	Young	0
S3-373	B73	Silk	0	Control	Epibiota	Young	0
S5-373	B73	Silk	0	Control	Epibiota	Young	0
O1-322	CML322	Ovule	0	Control	Epibiota	Young	0
O2-322	CML322	Ovule	0	Control	Epibiota	Young	0
O3-322	CML322	Ovule	0	Control	Epibiota	Young	0
O4-322	CML322	Ovule	0	Control	Epibiota	Young	0
S1-322	CML322	Silk	0	Control	Epibiota	Young	0
S2-322	CML322	Silk	0	Control	Epibiota	Young	0
S3-322	CML322	Silk	0	Control	Epibiota	Young	0
S4-322	CML322	Silk	0	Control	Epibiota	Young	0
S5-322	CML322	Silk	0	Control	Epibiota	Young	0
B1	B73	Silk	1	Mix	Epibiota	Young	1
B2	B73	Silk	1	Mix	Epibiota	Young	1
B3	B73	Silk	1	Mix	Epibiota	Young	1
B4	B73	Ovule	1	Mix	Epibiota	Young	1
B5	B73	Ovule	1	Mix	Epibiota	Young	1
B6	B73	Ovule	1	Mix	Epibiota	Young	1
B7	B73	Silk	1	K49	Epibiota	Young	1
B9	B73	Silk	1	K49	Epibiota	Young	1
B10	B73	Ovule	1	K49	Epibiota	Young	1
B11	B73	Ovule	1	K49	Epibiota	Young	1
B12	B73	Ovule	1	K49	Epibiota	Young	1
B13	B73	Silk	1	Tox4	Epibiota	Young	1
B14	B73	Silk	1	Tox4	Epibiota	Young	1
B15	B73	Silk	1	Tox4	Epibiota	Young	1
B16	B73	Ovule	1	Tox4	Epibiota	Young	1
B17	B73	Ovule	1	Tox4	Epibiota	Young	1
B18	B73	Ovule	1	Tox4	Epibiota	Young	1
B19	B73	Silk	1	Mix	Endobiota	Young	1
B20	B73	Silk	1	Mix	Endobiota	Young	1
B21	B73	Silk	1	Mix	Endobiota	Young	1
B22	B73	Ovule	1	Mix	Endobiota	Young	1
B23	B73	Ovule	1	Mix	Endobiota	Young	1
B24	B73	Ovule	1	Mix	Endobiota	Young	1
B25	B73	Silk	1	K49	Endobiota	Young	1
B26	B73	Silk	1	K49	Endobiota	Young	1
B27	B73	Silk	1	K49	Endobiota	Young	1
B28	B73	Ovule	1	K49	Endobiota	Young	1
B29	B73	Ovule	1	K49	Endobiota	Young	1
B30	B73	Ovule	1	K49	Endobiota	Young	1
B31	B73	Silk	1	Tox4	Endobiota	Young	1
B32	B73	Silk	1	Tox4	Endobiota	Young	1
B33	B73	Silk	1	Tox4	Endobiota	Young	1
B34	B73	Ovule	1	Tox4	Endobiota	Young	1
B35	B73	Ovule	1	Tox4	Endobiota	Young	1
B36	B73	Ovule	1	Tox4	Endobiota	Young	1
C1	CML322	Silk	1	Mix	Epibiota	Young	1
C2	CML322	Silk	1	Mix	Epibiota	Young	1
C3	CML322	Silk	1	Mix	Epibiota	Young	1
C4	CML322	Ovule	1	Mix	Epibiota	Young	1
C5	CML322	Ovule	1	Mix	Epibiota	Young	1
