feature_id,CML322_vs_B73,K49_vs_Control,Mix_vs_Control,Tox4_vs_Control,Epibiota_vs_Endobiota,Corn_GenotypeCML322:Fungal_TreatmentK49,Corn_GenotypeCML322:Fungal_TreatmentMix,Corn_GenotypeCML322:Fungal_TreatmentTox4,K49_vs_Mix,Tox4_vs_Mix,Tox4_vs_K49,Kingdom,Phylum,Class,Order,Family,Genus,Species,ecosystem_category,ecosystem_subtype,sample_collection_site
72e8ff4425b29287e17c7b24639a16fc,0,0,0,0,0,-4.51,-0,-0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA,NA,NA,NA
a56b3b9cb1fe7ef8af0e871de184a42a,0,0,0,0,0,-5.55,-0,-0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Williamsia,Williamsia_sp.,NA,NA,NA
e2bfa988bf31a54a4cf2a855bdf871b9,-0,0,0,0,-0,3.88,0,0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus_hoagii,NA,NA,NA
23022114b1655f4acf0a6e4002bd6d6a,0,0,-0,0,1.64,-7.18,-0,-5.55,0,3.22,0,d__Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA
a4b60a4acd68cf04706a36a052672bf6,0,-0,0,0,-0,-5.04,-0,-0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium_kroppenstedtii,NA,NA,NA
57280b369a97027d42b7ae04fdd1a58d,-0,-0,-0,8.58,-0,-0,0,-8.51,-0,9.97,10.04,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,NA,NA,NA,NA
31ba6d3b61e0cdb0ffca1178d0feceb8,-0,-0,0,-0,-0,1.97,0,0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,NA,NA,NA,NA
5992a9d81be7c35088a775a6d127b5bf,-0,-0,-0,-0,3.55,-0,0,-0,3.81,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,NA,NA,NA
ebd040eaa1151d0cbed3753d314846ae,0,0,-0,5.33,0,-0,-0,-7.66,0,6.02,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,NA,NA,NA
687349113fdef9c7f17b6acf4e3e357d,-0,-0,0,-0,-0,3.6,0,0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,NA,NA,NA
bb4e6559fdb1f5e2f2690cf27695f918,0,0,0,0,0,-7.15,0,-0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,NA,NA,NA
3b424b03febcb2f17ced05b55cb9da71,-0,0,-0,-0,0,-5.76,0,0,2.79,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,NA,NA,NA
8726ba39f42086ceb0a30c1595842407,-0,0,0,0,0,-7.78,-0,-0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,NA,NA,NA
ee97ca2d5c71f28c9cd3dd37bf8083a3,0,-0,0,0,-0,2.44,-0,-0,0,0,0,d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,NA,NA,NA,NA
c5570c72a6a36a33c8092188a1f271a2,-0,5.22,-0,0,0,-9.51,0,0,5.74,0,0,d__Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_sciuri,NA,NA,NA
eaa57f77edaae985a5784f41ece4ce33,-9.89,-10.34,-9.5,-9.47,-0,0,9.15,9.07,0,0,0,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_garvieae,NA,NA,NA
c6cdc71a1f7376db5a843ade152ed641,-8.49,-9.29,-8.6,-0,-0,0,7.91,0,0,0,0,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,NA,NA,NA
1c276ea2999d91505a7ec65698f9d743,-6.98,-7.71,-7.55,-7.67,-0,0,6.92,6.98,0,0,0,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,NA,NA,NA
58aa3f8df80816d23be44465607cd472,-0,-0,-6.46,-0,0,-0,0,0,0,0,0,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA,NA,NA,NA,NA
